county,megalitres_from_great_lakes,megalitres_from_groundwater,megalitres_from_inland_surface,total_megalitres_all_sources,industry,year,megalitres_from_great_lakes_pc,megalitres_from_groundwater_pc,megalitres_from_inland_surface_pc,main_source,fips
Ontonagon,0,0,0,0,Commercial-Institutional,2014,0.0,0.0,0.0,Great Lakes,26131
Ontonagon,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26131
Ontonagon,0,0,0,0,Industrial-Manufacturing,2014,0.0,0.0,0.0,Great Lakes,26131
Ontonagon,0,0,0,0,Irrigation,2014,0.0,0.0,0.0,Great Lakes,26131
Ontonagon,0,0,0,0,Livestock,2014,0.0,0.0,0.0,Great Lakes,26131
Ontonagon,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26131
Ontonagon,3497,132,0,3629,Public Water Supply,2014,0.96,0.04,0.0,Great Lakes,26131
Ontonagon,23300,274,0,23575,Total All Sectors,2014,0.99,0.01,0.0,Great Lakes,26131
Osceola,0,709,17,726,Commercial-Institutional,2014,0.0,0.98,0.02,Groundwater,26133
Osceola,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26133
Osceola,0,585,0,585,Industrial-Manufacturing,2014,0.0,1.0,0.0,Groundwater,26133
Osceola,0,606,164,770,Irrigation,2014,0.0,0.79,0.21,Groundwater,26133
Osceola,0,37,0,37,Livestock,2014,0.0,1.0,0.0,Groundwater,26133
Osceola,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26133
Osceola,0,2848,0,2848,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26133
Osceola,1471,2154,181,3807,Total All Sectors,2014,0.39,0.57,0.05,Groundwater,26133
Oscoda,0,0,0,0,Commercial-Institutional,2014,0.0,0.0,0.0,Great Lakes,26135
Oscoda,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26135
Oscoda,0,0,0,0,Industrial-Manufacturing,2014,0.0,0.0,0.0,Great Lakes,26135
Oscoda,0,137,171,308,Irrigation,2014,0.0,0.44,0.56,Inland Surface,26135
Oscoda,0,0,0,0,Livestock,2014,0.0,0.0,0.0,Great Lakes,26135
Oscoda,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26135
Oscoda,0,102,0,102,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26135
Oscoda,0,343,171,514,Total All Sectors,2014,0.0,0.67,0.33,Groundwater,26135
Otsego,0,0,0,0,Commercial-Institutional,2014,0.0,0.0,0.0,Great Lakes,26137
Otsego,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26137
Otsego,0,3,0,3,Industrial-Manufacturing,2014,0.0,1.0,0.0,Groundwater,26137
Otsego,0,2852,0,2852,Irrigation,2014,0.0,1.0,0.0,Groundwater,26137
Otsego,0,0,0,0,Livestock,2014,0.0,0.0,0.0,Great Lakes,26137
Otsego,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26137
Otsego,0,1444,0,1444,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26137
Otsego,3880,3042,0,6923,Total All Sectors,2014,0.56,0.44,0.0,Great Lakes,26137
Ottawa,0,39,0,39,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26139
Ottawa,912342,2046,78030,992419,Electric Power Generation,2014,0.92,0.0,0.08,Great Lakes,26139
Ottawa,0,522,434,957,Industrial-Manufacturing,2014,0.0,0.55,0.45,Groundwater,26139
Ottawa,0,5416,4191,9608,Irrigation,2014,0.0,0.56,0.44,Groundwater,26139
Ottawa,0,208,0,208,Livestock,2014,0.0,1.0,0.0,Groundwater,26139
Ottawa,0,6,0,6,Other,2014,0.0,1.0,0.0,Groundwater,26139
Ottawa,23300,274,0,23575,Public Water Supply,2014,0.99,0.01,0.0,Great Lakes,26139
Ottawa,912342,8409,82657,1003409,Total All Sectors,2014,0.91,0.01,0.08,Great Lakes,26139
Presque Isle,0,0,0,0,Commercial-Institutional,2014,0.0,0.0,0.0,Great Lakes,26141
Presque Isle,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26141
Presque Isle,11322,2,32343,43668,Industrial-Manufacturing,2014,0.26,0.0,0.74,Inland Surface,26141
Presque Isle,0,304,76,381,Irrigation,2014,0.0,0.8,0.2,Groundwater,26141
Presque Isle,0,0,0,0,Livestock,2014,0.0,0.0,0.0,Great Lakes,26141
Presque Isle,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26141
Presque Isle,0,646,0,646,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26141
Presque Isle,14820,440,32420,47681,Total All Sectors,2014,0.31,0.01,0.68,Inland Surface,26141
Roscommon,0,33,0,33,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26143
Roscommon,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26143
Roscommon,0,0,0,0,Industrial-Manufacturing,2014,0.0,0.0,0.0,Great Lakes,26143
Roscommon,0,212,60,272,Irrigation,2014,0.0,0.78,0.22,Groundwater,26143
Roscommon,0,0,0,0,Livestock,2014,0.0,0.0,0.0,Great Lakes,26143
Roscommon,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26143
Roscommon,0,407,0,407,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26143
Roscommon,0,349,60,409,Total All Sectors,2014,0.0,0.85,0.15,Groundwater,26143
Saginaw,0,2,0,2,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26145
Saginaw,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26145
Saginaw,0,2,0,2,Industrial-Manufacturing,2014,0.0,1.0,0.0,Groundwater,26145
Saginaw,0,1338,426,1765,Irrigation,2014,0.0,0.76,0.24,Groundwater,26145
Saginaw,0,0,0,0,Livestock,2014,0.0,0.0,0.0,Great Lakes,26145
Saginaw,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26145
Saginaw,0,592,0,592,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26145
Saginaw,0,1445,426,1872,Total All Sectors,2014,0.0,0.77,0.23,Groundwater,26145
Saint Clair,0,0,0,0,Commercial-Institutional,2014,0.0,0.0,0.0,Great Lakes,26147
Saint Clair,1714600,0,0,1714600,Electric Power Generation,2014,1.0,0.0,0.0,Great Lakes,26147
Saint Clair,19449,0,0,19449,Industrial-Manufacturing,2014,1.0,0.0,0.0,Great Lakes,26147
Saint Clair,12,111,382,507,Irrigation,2014,0.02,0.22,0.75,Inland Surface,26147
Saint Clair,0,0,0,0,Livestock,2014,0.0,0.0,0.0,Great Lakes,26147
Saint Clair,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26147
Saint Clair,14925,579,0,15504,Public Water Supply,2014,0.96,0.04,0.0,Great Lakes,26147
Saint Clair,1734062,174,382,1734619,Total All Sectors,2014,1.0,0.0,0.0,Great Lakes,26147
Saint Joseph,0,89,0,89,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26149
Saint Joseph,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26149
Saint Joseph,0,2285,336,2622,Industrial-Manufacturing,2014,0.0,0.87,0.13,Groundwater,26149
Saint Joseph,0,64088,14841,78930,Irrigation,2014,0.0,0.81,0.19,Groundwater,26149
Saint Joseph,0,0,0,0,Livestock,2014,0.0,0.0,0.0,Great Lakes,26149
Saint Joseph,0,3850,0,3850,Other,2014,0.0,1.0,0.0,Groundwater,26149
Saint Joseph,0,4793,0,4793,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26149
Saint Joseph,13647,70349,15178,99175,Total All Sectors,2014,0.14,0.71,0.15,Groundwater,26149
Sanilac,0,1,0,1,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26151
Sanilac,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26151
Sanilac,0,332,0,332,Industrial-Manufacturing,2014,0.0,1.0,0.0,Groundwater,26151
Sanilac,0,1217,117,1335,Irrigation,2014,0.0,0.91,0.09,Groundwater,26151
Sanilac,0,245,0,245,Livestock,2014,0.0,1.0,0.0,Groundwater,26151
Sanilac,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26151
Sanilac,411,1943,0,2355,Public Water Supply,2014,0.17,0.83,0.0,Groundwater,26151
Sanilac,552,1825,117,2495,Total All Sectors,2014,0.22,0.73,0.05,Groundwater,26151
Schoolcraft,0,0,0,0,Commercial-Institutional,2014,0.0,0.0,0.0,Great Lakes,26153
Schoolcraft,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26153
Schoolcraft,3687,1,6595,10284,Industrial-Manufacturing,2014,0.36,0.0,0.64,Inland Surface,26153
Schoolcraft,0,27,141,169,Irrigation,2014,0.0,0.16,0.83,Inland Surface,26153
Schoolcraft,0,2338,3065,5404,Livestock,2014,0.0,0.43,0.57,Inland Surface,26153
Schoolcraft,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26153
Schoolcraft,552,28,0,580,Public Water Supply,2014,0.95,0.05,0.0,Great Lakes,26153
Schoolcraft,5314,2392,9802,17509,Total All Sectors,2014,0.3,0.14,0.56,Inland Surface,26153
Shiawassee,0,0,0,0,Commercial-Institutional,2014,0.0,0.0,0.0,Great Lakes,26155
Shiawassee,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26155
Shiawassee,0,3,25,28,Industrial-Manufacturing,2014,0.0,0.11,0.89,Inland Surface,26155
Shiawassee,0,75,172,248,Irrigation,2014,0.0,0.3,0.69,Inland Surface,26155
Shiawassee,0,236,0,236,Livestock,2014,0.0,1.0,0.0,Groundwater,26155
Shiawassee,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26155
Shiawassee,0,4188,0,4188,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26155
Shiawassee,53840,329,197,54368,Total All Sectors,2014,0.99,0.01,0.0,Great Lakes,26155
Tuscola,0,10,0,10,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26157
Tuscola,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26157
Tuscola,0,121,346,468,Industrial-Manufacturing,2014,0.0,0.26,0.74,Inland Surface,26157
Tuscola,5,1538,4216,5761,Irrigation,2014,0.0,0.27,0.73,Inland Surface,26157
Tuscola,0,24,0,24,Livestock,2014,0.0,1.0,0.0,Groundwater,26157
Tuscola,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26157
Tuscola,0,2705,0,2705,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26157
Tuscola,2855,1701,4563,9120,Total All Sectors,2014,0.31,0.19,0.5,Inland Surface,26157
Van Buren,0,32,0,32,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26159
Van Buren,160105,0,0,160105,Electric Power Generation,2014,1.0,0.0,0.0,Great Lakes,26159
Van Buren,0,1709,0,1709,Industrial-Manufacturing,2014,0.0,1.0,0.0,Groundwater,26159
Van Buren,0,25382,2462,27844,Irrigation,2014,0.0,0.91,0.09,Groundwater,26159
Van Buren,0,5396,0,5396,Livestock,2014,0.0,1.0,0.0,Groundwater,26159
Van Buren,0,78,0,78,Other,2014,0.0,1.0,0.0,Groundwater,26159
Van Buren,1896,3171,0,5068,Public Water Supply,2014,0.37,0.63,0.0,Groundwater,26159
Van Buren,161891,32605,2462,196959,Total All Sectors,2014,0.82,0.17,0.01,Great Lakes,26159
Washtenaw,0,274,0,274,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26161
Washtenaw,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26161
Washtenaw,0,6246,774,7021,Industrial-Manufacturing,2014,0.0,0.89,0.11,Groundwater,26161
Washtenaw,0,3804,889,4694,Irrigation,2014,0.0,0.81,0.19,Groundwater,26161
Washtenaw,0,457,0,457,Livestock,2014,0.0,1.0,0.0,Groundwater,26161
Washtenaw,0,1,0,1,Other,2014,0.0,1.0,0.0,Groundwater,26161
Washtenaw,0,9303,16742,26046,Public Water Supply,2014,0.0,0.36,0.64,Inland Surface,26161
Washtenaw,742629,10785,1664,755079,Total All Sectors,2014,0.98,0.01,0.0,Great Lakes,26161
Wayne,0,16,0,16,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26163
Wayne,795715,0,233232,1028947,Electric Power Generation,2014,0.77,0.0,0.23,Great Lakes,26163
Wayne,341431,2037,133914,477382,Industrial-Manufacturing,2014,0.72,0.0,0.28,Great Lakes,26163
Wayne,105,486,804,1397,Irrigation,2014,0.08,0.35,0.58,Inland Surface,26163
Wayne,0,0,0,0,Livestock,2014,0.0,0.0,0.0,Great Lakes,26163
Wayne,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26163
Wayne,742629,0,0,742629,Public Water Supply,2014,1.0,0.0,0.0,Great Lakes,26163
Wayne,1148669,2541,367951,1519161,Total All Sectors,2014,0.76,0.0,0.24,Great Lakes,26163
Wexford,0,143,0,143,Commercial-Institutional,2014,0.0,1.0,0.0,Groundwater,26165
Wexford,0,0,0,0,Electric Power Generation,2014,0.0,0.0,0.0,Great Lakes,26165
Wexford,0,43,0,43,Industrial-Manufacturing,2014,0.0,1.0,0.0,Groundwater,26165
Wexford,0,1390,0,1390,Irrigation,2014,0.0,1.0,0.0,Groundwater,26165
Wexford,0,4068,0,4068,Livestock,2014,0.0,1.0,0.0,Groundwater,26165
Wexford,0,0,0,0,Other,2014,0.0,0.0,0.0,Great Lakes,26165
Wexford,0,3625,0,3625,Public Water Supply,2014,0.0,1.0,0.0,Groundwater,26165
Wexford,737,5646,0,6384,Total All Sectors,2014,0.12,0.88,0.0,Groundwater,26165
Alcona,0,0,0,0,Commercial-Institutional,2015,0.0,0.0,0.0,Great Lakes,26001
Alcona,0,593,0,593,Electric Power Generation,2015,0.0,1.0,0.0,Groundwater,26001
Alcona,5029,382,0,5412,Industrial-Manufacturing,2015,0.93,0.07,0.0,Great Lakes,26001
Alcona,0,123,35,158,Irrigation,2015,0.0,0.78,0.22,Groundwater,26001
Alcona,0,70,981,1051,Livestock,2015,0.0,0.07,0.93,Inland Surface,26001
Alcona,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26001
Alcona,0,83,0,83,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26001
Alcona,5029,1254,1016,7299,Total All Sectors,2015,0.69,0.17,0.14,Great Lakes,26001
Alger,0,4,0,4,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26003
Alger,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26003
Alger,0,3381,1253,4634,Industrial-Manufacturing,2015,0.0,0.73,0.27,Groundwater,26003
Alger,0,39,0,39,Irrigation,2015,0.0,1.0,0.0,Groundwater,26003
Alger,0,0,0,0,Livestock,2015,0.0,0.0,0.0,Great Lakes,26003
Alger,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26003
Alger,0,567,0,567,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26003
Alger,0,3992,1253,5246,Total All Sectors,2015,0.0,0.76,0.24,Groundwater,26003
Allegan,0,126,0,126,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26005
Allegan,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26005
Allegan,0,48,6072,6121,Industrial-Manufacturing,2015,0.0,0.01,0.99,Inland Surface,26005
Allegan,0,11477,9161,20639,Irrigation,2015,0.0,0.56,0.44,Groundwater,26005
Allegan,0,645,11,656,Livestock,2015,0.0,0.98,0.02,Groundwater,26005
Allegan,0,1802,271,2073,Other,2015,0.0,0.87,0.13,Groundwater,26005
Allegan,0,5679,0,5679,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26005
Allegan,0,19780,15516,35296,Total All Sectors,2015,0.0,0.56,0.44,Groundwater,26005
Alpena,0,0,0,0,Commercial-Institutional,2015,0.0,0.0,0.0,Great Lakes,26007
Alpena,154576,0,1366,155942,Electric Power Generation,2015,0.99,0.0,0.01,Great Lakes,26007
Alpena,0,8,0,8,Industrial-Manufacturing,2015,0.0,1.0,0.0,Groundwater,26007
Alpena,0,59,100,160,Irrigation,2015,0.0,0.37,0.62,Inland Surface,26007
Alpena,0,0,0,0,Livestock,2015,0.0,0.0,0.0,Great Lakes,26007
Alpena,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26007
Alpena,2790,4,0,2795,Public Water Supply,2015,1.0,0.0,0.0,Great Lakes,26007
Alpena,157367,73,1466,158907,Total All Sectors,2015,0.99,0.0,0.01,Great Lakes,26007
Antrim,0,2,0,2,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26009
Antrim,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26009
Antrim,0,12395,174,12569,Irrigation,2015,0.0,0.99,0.01,Groundwater,26009
Antrim,0,0,0,0,Livestock,2015,0.0,0.0,0.0,Great Lakes,26009
Antrim,0,14,0,14,Other,2015,0.0,1.0,0.0,Groundwater,26009
Antrim,0,1655,0,1655,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26009
Antrim,0,14333,174,14507,Total All Sectors,2015,0.0,0.99,0.01,Groundwater,26009
Arenac,0,8,0,9,Commercial-Institutional,2015,0.0,0.89,0.0,Groundwater,26011
Arenac,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26011
Arenac,480,0,0,480,Industrial-Manufacturing,2015,1.0,0.0,0.0,Great Lakes,26011
Arenac,0,108,226,334,Irrigation,2015,0.0,0.32,0.68,Inland Surface,26011
Arenac,0,0,0,0,Livestock,2015,0.0,0.0,0.0,Great Lakes,26011
Arenac,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26011
Arenac,58806,20,0,58826,Public Water Supply,2015,1.0,0.0,0.0,Great Lakes,26011
Arenac,59286,138,226,59652,Total All Sectors,2015,0.99,0.0,0.0,Great Lakes,26011
Baraga,0,0,0,0,Commercial-Institutional,2015,0.0,0.0,0.0,Great Lakes,26013
Baraga,18651,0,0,18651,Electric Power Generation,2015,1.0,0.0,0.0,Great Lakes,26013
Baraga,0,555,370,925,Industrial-Manufacturing,2015,0.0,0.6,0.4,Groundwater,26013
Baraga,0,0,13,13,Irrigation,2015,0.0,0.0,1.0,Inland Surface,26013
Baraga,0,0,0,0,Livestock,2015,0.0,0.0,0.0,Great Lakes,26013
Baraga,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26013
Baraga,706,0,0,706,Public Water Supply,2015,1.0,0.0,0.0,Great Lakes,26013
Baraga,19358,555,383,20297,Total All Sectors,2015,0.95,0.03,0.02,Great Lakes,26013
Barry,0,22,0,22,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26015
Barry,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26015
Barry,0,154,3019,3174,Industrial-Manufacturing,2015,0.0,0.05,0.95,Inland Surface,26015
Barry,0,3113,1913,5027,Irrigation,2015,0.0,0.62,0.38,Groundwater,26015
Barry,0,548,7,556,Livestock,2015,0.0,0.99,0.01,Groundwater,26015
Barry,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26015
Barry,0,2172,0,2172,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26015
Barry,0,6013,4940,10953,Total All Sectors,2015,0.0,0.55,0.45,Groundwater,26015
Bay,0,0,0,0,Commercial-Institutional,2015,0.0,0.0,0.0,Great Lakes,26017
Bay,0,0,658675,658675,Electric Power Generation,2015,0.0,0.0,1.0,Inland Surface,26017
Bay,0,158,0,158,Industrial-Manufacturing,2015,0.0,1.0,0.0,Groundwater,26017
Bay,27,145,2618,2791,Irrigation,2015,0.01,0.05,0.94,Inland Surface,26017
Bay,0,0,0,0,Livestock,2015,0.0,0.0,0.0,Great Lakes,26017
Bay,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26017
Bay,12463,0,0,12463,Public Water Supply,2015,1.0,0.0,0.0,Great Lakes,26017
Bay,12491,303,661293,674088,Total All Sectors,2015,0.02,0.0,0.98,Inland Surface,26017
Benzie,0,32,0,32,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26019
Benzie,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26019
Benzie,0,1136,0,1136,Industrial-Manufacturing,2015,0.0,1.0,0.0,Groundwater,26019
Benzie,0,1079,0,1079,Irrigation,2015,0.0,1.0,0.0,Groundwater,26019
Benzie,0,11,0,11,Livestock,2015,0.0,1.0,0.0,Groundwater,26019
Benzie,0,44,0,44,Other,2015,0.0,1.0,0.0,Groundwater,26019
Benzie,0,937,0,937,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26019
Benzie,0,3242,0,3243,Total All Sectors,2015,0.0,1.0,0.0,Groundwater,26019
Berrien,0,112,0,112,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26021
Berrien,2897127,0,0,2897127,Electric Power Generation,2015,1.0,0.0,0.0,Great Lakes,26021
Berrien,0,162,557,720,Industrial-Manufacturing,2015,0.0,0.22,0.77,Inland Surface,26021
Berrien,6,12158,4379,16543,Irrigation,2015,0.0,0.73,0.26,Groundwater,26021
Berrien,0,0,0,0,Livestock,2015,0.0,0.0,0.0,Great Lakes,26021
Berrien,0,170,0,170,Other,2015,0.0,1.0,0.0,Groundwater,26021
Berrien,13400,4166,0,17567,Public Water Supply,2015,0.76,0.24,0.0,Great Lakes,26021
Berrien,2910533,16770,4937,2932241,Total All Sectors,2015,0.99,0.01,0.0,Great Lakes,26021
Branch,0,0,0,0,Commercial-Institutional,2015,0.0,0.0,0.0,Great Lakes,26023
Branch,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26023
Branch,0,5423,1705,7128,Industrial-Manufacturing,2015,0.0,0.76,0.24,Groundwater,26023
Branch,0,17905,8370,26276,Irrigation,2015,0.0,0.68,0.32,Groundwater,26023
Branch,0,73,0,73,Livestock,2015,0.0,1.0,0.0,Groundwater,26023
Branch,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26023
Branch,0,3832,0,3832,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26023
Branch,0,27235,10075,37311,Total All Sectors,2015,0.0,0.73,0.27,Groundwater,26023
Calhoun,0,495,0,495,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26025
Calhoun,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26025
Calhoun,0,0,1511,1511,Industrial-Manufacturing,2015,0.0,0.0,1.0,Inland Surface,26025
Calhoun,0,5454,3394,8848,Irrigation,2015,0.0,0.62,0.38,Groundwater,26025
Calhoun,0,50,0,50,Livestock,2015,0.0,1.0,0.0,Groundwater,26025
Calhoun,0,165,0,165,Other,2015,0.0,1.0,0.0,Groundwater,26025
Calhoun,0,17304,0,17304,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26025
Calhoun,0,23471,4905,28377,Total All Sectors,2015,0.0,0.83,0.17,Groundwater,26025
Cass,0,22,0,22,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26027
Cass,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26027
Cass,1340,14968,3928,20236,Industrial-Manufacturing,2015,0.07,0.74,0.19,Groundwater,26027
Cass,0,40305,2183,42488,Irrigation,2015,0.0,0.95,0.05,Groundwater,26027
Cass,0,150,0,150,Livestock,2015,0.0,1.0,0.0,Groundwater,26027
Cass,0,67,0,67,Other,2015,0.0,1.0,0.0,Groundwater,26027
Cass,0,1683,0,1683,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26027
Cass,1340,57197,6111,64649,Total All Sectors,2015,0.02,0.88,0.09,Groundwater,26027
Charlevoix,0,2199,0,2199,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26029
Charlevoix,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26029
Charlevoix,0,16,941,958,Industrial-Manufacturing,2015,0.0,0.02,0.98,Inland Surface,26029
Charlevoix,0,194,150,345,Irrigation,2015,0.0,0.56,0.43,Groundwater,26029
Charlevoix,0,0,0,0,Livestock,2015,0.0,0.0,0.0,Great Lakes,26029
Charlevoix,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26029
Charlevoix,1246,2437,0,3683,Public Water Supply,2015,0.34,0.66,0.0,Groundwater,26029
Charlevoix,1246,4847,1092,7186,Total All Sectors,2015,0.17,0.67,0.15,Groundwater,26029
Cheboygan,0,0,0,0,Commercial-Institutional,2015,0.0,0.0,0.0,Great Lakes,26031
Cheboygan,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26031
Cheboygan,1149,0,0,1149,Industrial-Manufacturing,2015,1.0,0.0,0.0,Great Lakes,26031
Cheboygan,0,335,17533,17868,Irrigation,2015,0.0,0.02,0.98,Inland Surface,26031
Cheboygan,0,0,0,0,Livestock,2015,0.0,0.0,0.0,Great Lakes,26031
Cheboygan,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26031
Cheboygan,0,1358,0,1358,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26031
Cheboygan,1149,1694,17533,20376,Total All Sectors,2015,0.06,0.08,0.86,Inland Surface,26031
Chippewa,0,4,0,4,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26033
Chippewa,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26033
Chippewa,0,109,1130,1239,Industrial-Manufacturing,2015,0.0,0.09,0.91,Inland Surface,26033
Chippewa,45,165,0,211,Irrigation,2015,0.21,0.78,0.0,Groundwater,26033
Chippewa,0,93,0,93,Livestock,2015,0.0,1.0,0.0,Groundwater,26033
Chippewa,617,0,0,617,Other,2015,1.0,0.0,0.0,Great Lakes,26033
Chippewa,2399,1315,0,3714,Public Water Supply,2015,0.65,0.35,0.0,Great Lakes,26033
Chippewa,3061,1688,1130,5880,Total All Sectors,2015,0.52,0.29,0.19,Great Lakes,26033
Clare,0,57,0,57,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26035
Clare,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26035
Clare,0,851,0,851,Industrial-Manufacturing,2015,0.0,1.0,0.0,Groundwater,26035
Clare,0,298,20,318,Irrigation,2015,0.0,0.94,0.06,Groundwater,26035
Clare,0,8,0,8,Livestock,2015,0.0,1.0,0.0,Groundwater,26035
Clare,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26035
Clare,0,1540,0,1540,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26035
Clare,0,2756,20,2776,Total All Sectors,2015,0.0,0.99,0.01,Groundwater,26035
Clinton,0,32,0,32,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26037
Clinton,0,0,0,0,Electric Power Generation,2015,0.0,0.0,0.0,Great Lakes,26037
Clinton,0,150,0,150,Industrial-Manufacturing,2015,0.0,1.0,0.0,Groundwater,26037
Clinton,0,825,2070,2896,Irrigation,2015,0.0,0.28,0.71,Inland Surface,26037
Clinton,0,1249,0,1249,Livestock,2015,0.0,1.0,0.0,Groundwater,26037
Clinton,0,0,0,0,Other,2015,0.0,0.0,0.0,Great Lakes,26037
Clinton,0,1604,0,1604,Public Water Supply,2015,0.0,1.0,0.0,Groundwater,26037
Clinton,0,3863,2070,5934,Total All Sectors,2015,0.0,0.65,0.35,Groundwater,26037
Crawford,0,121,0,121,Commercial-Institutional,2015,0.0,1.0,0.0,Groundwater,26039
